what were your favourite tv shows when you were a kid? :),,,5,,,,,,,,,,,,,
what was your last dream about?,,,5,,,,,,,,,,,,,
what do most people not know about you?,,,5,,,,,,,,,,,,,
name,,,5,,,,,,,,,,,,,
age,,,5,,,,,,,,,,,,,
city that you live in,,,5,,,,,,,,,,,,,
what do most people not know about you?,,,5,,,,,,,,,,,,,
what do most people know you for?,,,5,,,,,,,,,,,,,
hobbies,,,5,,,,,,,,,,,,,
what are your passions?,,,5,,,,,,,,,,,,,
what do you search for in a significant other?,,,5,,,,,,,,,,,,,
what are you most proud of?,,,5,,,,,,,,,,,,,
when was the last time you had a significant conversation with someone you love?,,,5,,,,,,,,,,,,,
have you ever collected anything? what was it?,3,,2,,,,,,,,,,,,,
what was the last thing you learned?,,,2,1,,,,,1,,,,,,,1
how many relationships have you been in?,,,,,,5,,,,,,,,,,
turn ons,,,5,,,,,,,,,,,,,
turn offs,,,5,,,,,,,,,,,,,
favorite food,,,5,,,,,,,,,,,,,
favorite drink,,,5,,,,,,,,,,,,,
what is the best birthday gift you have ever received?,,,4,,,,,,,,,,,,,1
are you optimistic or pessimistic?,1,4,,,,,,,,,,,,,,
do you sleep during class?,5,,,,,,,,,,,,,,,
what is the most expensive thing you own?,,,3,1,,,,1,,,,,,,,
what is the cheapest yet most useful thing you own?,,,2,1,1,,,1,,,,,,,,
how many times a day on average do you check your phone?,,,,,,5,,,,,,,,,,
text or call?,,5,,,,,,,,,,,,,,
opinion on long distance?,1,,,,,,,,,,,,,,,4
what is your definition of success?,,,,,,,2,,,,,,,,,3
favorite song?,,,5,,,,,,,,,,,,,
favorite artist?,,,5,,,,,,,,,,,,,
celebrity crush/crushes?,,,4,1,,,,,,,,,,,,
when was the last time you read for fun?,,,5,,,,,,,,,,,,,
favorite flower?,,,5,,,,,,,,,,,,,
what is the best gift you could receive right now?,,,4,,1,,,,,,,,,,,
any guilty pleasures?,,,5,,,,,,,,,,,,,
what is one thing you would like to change about yourself?,,,2,3,,,,,,,,,,,,
what do you search for in a friend?,,,1,,2,,,,,,,,,,,2
"how many times have you said ""i love you"" in the past month?",,,,,,5,,,,,,,,,,
where did you last go other than your room/home?,,,5,,,,,,,,,,,,,
why do bad things happen to good people?,,,,,,,,,,,,,,2,2,1
"in your opinion, what hurts more? being left out or being stabbed in the eye?",,4,,,,,,,1,,,,,,,
how many green shirts do you own?,,,,,,5,,,,,,,,,,
do you like anime?,5,,,,,,,,,,,,,,,
what do you invest the most time in?,,,1,3,,,,,1,,,,,,,
what was the name of the last book you read?,,,5,,,,,,,,,,,,,
what's the difference between loving and liking someone?,,1,,,,,1,,2,,,,,,,1
where are you most productive?,,,4,,1,,,,,,,,,,,
do you believe world peace will ever exist?,2,,,,,,,,,,,,,,,3
do you have any allergies?,,,,1,2,2,,,,,,,,,,
when was the last time you cussed at someone?,,,5,,,,,,,,,,,,,
what was the last promise you made?,,,4,1,,,,,,,,,,,,
what was your last dream about?,,,2,,,,,,3,,,,,,,
"if you won a trip to hawaii and you could take 5 people with you, who would those 5 people be?",,1,,,3,,,1,,,,,,,,
how many countries have you visited?,,,,,,5,,,,,,,,,,
when was the last time somebody complimented you?,,,4,1,,,,,,,,,,,,
"if you switched bodies with someone, how would you recognize yourself?",,,,,1,,,2,,,,,,1,,1
do you consider yourself mature?,2,,,,,,,,,,,,,,,3
how many days in your life do you think you have wasted on tumblr?,,,,,,4,,,,,,,,,,1
what is your favorite quote?,,,,,,,,,,,,,,,,
"if you started a new religion and you had to create 3 rules or commandments for your new followers to live by, what would those 3 rules be?",,,,,,,,,,,,,,,,
what is your greatest accomplishment?,,,,,,,,,,,,,,,,
do you believe in the death penalty?,,,,,,,,,,,,,,,,
what are your goals for life?,,,,,,,,,,,,,,,,
what do you think your soulmate is doing right now?,,,,,,,,,,,,,,,,
what were you like in 2013?,,,,,,,,,,,,,,,,
do you have a job?,,,,,,,,,,,,,,,,
"if you could change one thing about society, what would it be?",,,,,,,,,,,,,,,,
how many all-nighters have you pulled before?,,,,,,,,,,,,,,,,
"is tumblr your favorite website? if not, then what is your favorite website?",,,,,,,,,,,,,,,,
what is the craziest thing you would do for a million dollars?,,,,,,,,,,,,,,,,
does money equal happiness?,,,,,,,,,,,,,,,,
how many times have you experienced true happiness in your lifetime?,,,,,,,,,,,,,,,,
how many times have you experienced true sadness in your lifetime?,,,,,,,,,,,,,,,,
what is the funniest joke you have ever been told?,,,,,,,,,,,,,,,,
when was the last time you looked at the news?,,,,,,,,,,,,,,,,
"if you could say one thing to the world, what would you say?",,,,,,,,,,,,,,,,
what is your favorite animal?,,,,,,,,,,,,,,,,
"if you could earn a million dollars by pretending to be dead for 3 years, would you do it?",,,,,,,,,,,,,,,,
what is one thing that everyone is bad at?,,,,,,,,,,,,,,,,
what time do you normally sleep? how many hours of sleep do you usually get?,,,,,,,,,,,,,,,,
does age necessarily equal maturity?,,,,,,,,,,,,,,,,
what is your favorite clothing store?,,,,,,,,,,,,,,,,
in the winter- beanies or gloves?,,,,,,,,,,,,,,,,
would you rather have wings or a fish tail?,,,,,,,,,,,,,,,,
"if you had the power to erase one person from the world so that nobody remembered him or her except you, would you do it?",,,,,,,,,,,,,,,,
what do you fear the most?,,,,,,,,,,,,,,,,
how many digits of pi can you recite?,,,,,,,,,,,,,,,,
"if you could travel back to one year and relive it again, which year would it be?",,,,,,,,,,,,,,,,
what is the weirdest thing you have ever seen?,,,,,,,,,,,,,,,,
what is something you will never forget?,,,,,,,,,,,,,,,,
would you rather forget all of the past or remember everything in vivid detail?,,,,,,,,,,,,,,,,
have you ever broken a bone before?,,,,,,,,,,,,,,,,
is it harder to love or to hate somebody?,,,,,,,,,,,,,,,,
coffee or tea?,,,,,,,,,,,,,,,,
what are some little things that you do that have changed your life in a positive way?,,,,,,,,,,,,,,,,
how many hours have you spend on tumblr today?,,,,,,,,,,,,,,,,
how old would you be if you didn’t know how old you are?,,,,,,,,,,,,,,,,
"which is worse, failing or never trying?",,,,,,,,,,,,,,,,
"if life is so short, why do we do so many things we don’t like and like so many things we don’t do?",,,,,,,,,,,,,,,,
"when it’s all said and done, will you have said more than you’ve done?",,,,,,,,,,,,,,,,
what is the one thing you’d most like to change about the world?,,,,,,,,,,,,,,,,
"if happiness was the national currency, what kind of work would make you rich?",,,,,,,,,,,,,,,,
"are you doing what you believe in, or are you settling for what you are doing?",,,,,,,,,,,,,,,,
"if the average human life span was 40 years, how would you live your life differently?",,,,,,,,,,,,,,,,
to what degree have you actually controlled the course your life has taken?,,,,,,,,,,,,,,,,
"are you more worried about doing things right, or doing the right things?",,,,,,,,,,,,,,,,
what do you do?,,,,,,,,,,,,,,,,
"if you could offer a newborn child only one piece of advice, what would it be?",,,,,,,,,,,,,,,,
would you break the law to save a loved one?,,,,,,,,,,,,,,,,
have you ever seen insanity where you later saw creativity?,,,,,,,,,,,,,,,,
what’s something you know you do differently than most people?,,,,,,,,,,,,,,,,
how come the things that make you happy don’t make everyone happy?,,,,,,,,,,,,,,,,
what one thing have you not done that you really want to do?  what’s holding you back?,,,,,,,,,,,,,,,,
are you holding onto something you need to let go of?,,,,,,,,,,,,,,,,
"if you had to move to a state or country besides the one you currently live in, where would you move and why?",,,,,,,,,,,,,,,,
do you push the elevator button more than once?  do you really believe it makes the elevator faster?,,,,,,,,,,,,,,,,
would you rather be a worried genius or a joyful simpleton?,,,,,,,,,,,,,,,,
"why are you, you?",,,,,,,,,,,,,,,,
have you been the kind of friend you want as a friend?,,,,,,,,,,,,,,,,
"which is worse, when a good friend moves away, or losing touch with a good friend who lives right near you?",,,,,,,,,,,,,,,,
what are you most grateful for?,,,,,,,,,,,,,,,,
"would you rather lose all of your old memories, or never be able to make new ones?",,,,,,,,,,,,,,,,
is is possible to know the truth without challenging it first?,,,,,,,,,,,,,,,,
has your greatest fear ever come true?,,,,,,,,,,,,,,,,
do you remember that time 5 years ago when you were extremely upset?  does it really matter now?,,,,,,,,,,,,,,,,
what is your happiest childhood memory?  what makes it so special?,,,,,,,,,,,,,,,,
at what time in your recent past have you felt most passionate and alive?,,,,,,,,,,,,,,,,
"if not now, then when?",,,,,,,,,,,,,,,,
"if you haven’t achieved it yet, what do you have to lose?",,,,,,,,,,,,,,,,
"have you ever been with someone, said nothing, and walked away feeling like you just had the best conversation ever?",,,,,,,,,,,,,,,,
why do religions that support love cause so many wars?,,,,,,,,,,,,,,,,
"is it possible to know, without a doubt, what is good and what is evil?",,,,,,,,,,,,,,,,
"if you just won a million dollars, would you quit your job?",,,,,,,,,,,,,,,,
"would you rather have less work to do, or more work you actually enjoy doing?",,,,,,,,,,,,,,,,
do you feel like you’ve lived this day a hundred times before?,,,,,,,,,,,,,,,,
when was the last time you marched into the dark with only the soft glow of an idea you strongly believed in?,,,,,,,,,,,,,,,,
"if you knew that everyone you know was going to die tomorrow, who would you visit today?",,,,,,,,,,,,,,,,
would you be willing to reduce your life expectancy by 10 years to become extremely attractive or famous?,,,,,,,,,,,,,,,,
what is the difference between being alive and truly living?,,,,,,,,,,,,,,,,
"when is it time to stop calculating risk and rewards, and just go ahead and do what you know is right?",,,,,,,,,,,,,,,,
"if we learn from our mistakes, why are we always so afraid to make a mistake?",,,,,,,,,,,,,,,,
what would you do differently if you knew nobody would judge you?,,,,,,,,,,,,,,,,
when was the last time you noticed the sound of your own breathing?,,,,,,,,,,,,,,,,
what do you love?  have any of your recent actions openly expressed this love?,,,,,,,,,,,,,,,,
"in 5 years from now, will you remember what you did yesterday?  what about the day before that?  or the day before that?",,,,,,,,,,,,,,,,
"  the question is:  are you making them for yourself, or are you letting others make them for you?",,,,,,,,,,,,,,,,
do apps help you or just waste your time?,,,,,,,,,,,,,,,,
do you keep a diary or journal?,,,,,,,,,,,,,,,,
should schools offer cash bonuses for good test scores?,,,,,,,,,,,,,,,,
would you like to take a class online?,,,,,,,,,,,,,,,,
are children of illegal immigrants entitled to a public education?,,,,,,,,,,,,,,,,
what is your personal credo?,,,,,,,,,,,,,,,,
how do you personalize the things you’re required to have at school?,,,,,,,,,,,,,,,,
should students be required to take drug tests?,,,,,,,,,,,,,,,,
do you participate in class?,,,,,,,,,,,,,,,,
do attractive people have advantages others don’t?,,,,,,,,,,,,,,,,
what motivates you?,,,,,,,,,,,,,,,,
do you support affirmative action?,,,,,,,,,,,,,,,,
what role does television play in your life and the life of your family?,,,,,,,,,,,,,,,,
why do you write?,,,,,,,,,,,,,,,,
how do you use facebook?,,,,,,,,,,,,,,,,
what journey do you most want to make?,,,,,,,,,,,,,,,,
what are you afraid of?,,,,,,,,,,,,,,,,
what have you made yourself?,,,,,,,,,,,,,,,,
do you trust your government?,,,,,,,,,,,,,,,,
what are your favorite cartoons?,,,,,,,,,,,,,,,,
who is your role model?,,,,,,,,,,,,,,,,
does pop culture deserve serious study?,,,,,,,,,,,,,,,,
do you have good manners?,,,,,,,,,,,,,,,,
what causes should philanthropic groups finance?,,,,,,,,,,,,,,,,
should fertilized eggs be given legal personhood?,,,,,,,,,,,,,,,,
what challenges have you set for yourself?,,,,,,,,,,,,,,,,
